Title,Album,Artist,Genre,Year,Link,Date Added,Discovery Source,Notes,Known Issues
I Remember,I Remember,Chris Lake,House,2020,https://www.youtube.com/watch?v=P2quVBJf6ME,2022-10-02,Best-Of,,
Deceiver,Deceiver,Chris Lake & Green Velvet,House,2018,https://www.youtube.com/watch?v=ZRUC1ZKao74,2022-10-02,Best-Of,,
Free Your Body,Free Your Body,Chris Lake & Solardo,House,2019,https://www.youtube.com/watch?v=WdwCZBfL8VI,2022-10-02,Best-Of,,
Operator (Ring Ring) ft. Dances With White Girls,Operator,Chris Lake,House,2017,https://www.youtube.com/watch?v=cx4Y4ox4BhI,2022-10-02,Best-Of,,
Beat Freak ft. L'Aura,Beat Freak,Chris Lake & Riva Starr,House,2021,https://www.youtube.com/watch?v=6LhZoiZ5nmk,2022-10-02,Best-Of,,
Sundown,Sundown,Chris Lake,House,2011,https://www.youtube.com/watch?v=Fy2JIwkgQTo,2022-10-02,Best-Of,,
Sun Came Up,Sun Came Up,Sofi Tukker & John Summit,House,2021,https://www.youtube.com/watch?v=aPcsSw-RLFI,2022-10-03,Best-Of,,
Control,Control,Lenno,House,2022,https://www.youtube.com/watch?v=YKNkSrRa57E,2022-10-03,Heldeep Radio #431,,
Eat Organic,Eat Organic,PBH & Jack & Hannah Boleyn,House,2022,https://www.youtube.com/watch?v=Gt4N7of0d2A,2022-10-03,Heldeep Radio #431,,
Kiss It Better,Kiss It Better,Aluna & MK,House,2022,https://www.youtube.com/watch?v=tlg4JINIDTw,2022-10-03,Heldeep Radio #431,,
Chemistry,Chemistry,Kream & Idemi & Camden Cox,House,2022,https://www.youtube.com/watch?v=Tc1rtC8OYoM,2022-10-03,Heldeep Radio #431,,
Beatbox (Kryder Remix),Beatbox,Moguai,House,2022,https://www.youtube.com/watch?v=6y2hoBi5RO4,2022-10-03,Heldeep Radio #431,,
Not About You,Not About You,Walker & Royce & Nala,House,2022,https://www.youtube.com/watch?v=l_DyxJkOfho,2022-10-03,Heldeep Radio #431,,
Mandala,Mandala,Jay Lumen,House,2022,https://www.youtube.com/watch?v=cdQQ2bd9Nu8,2022-10-03,Heldeep Radio #431,,
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,House,2022,https://www.youtube.com/watch?v=LJJnqjZg6Q4,2022-10-03,Heldeep Radio #431,,
Metaphysical,Exodus,Filterheadz & Horatio,Techno,2022,https://www.youtube.com/watch?v=M998nKdW41s,2022-10-03,Heldeep Radio #431,,no album art
Bring The Dish,Mandala,Jay Lumen,Techno,2022,https://www.youtube.com/watch?v=KnNKACz2pEs,2022-10-03,Heldeep Radio #431,,
Power 2 Tha People,Power 2 Tha People,Narciss,Techno,2022,https://www.youtube.com/watch?v=pvTfZ2CtY2Q,2022-10-03,Heldeep Radio #431,,
Deja Vu,Deja Vu,Oliver Heldens & Anabel Englund,House,2021,https://www.youtube.com/watch?v=824Jb2V57Ic,2022-10-03,Youtube,,
Ferrari,Ferrari,James Hype & Miggy Dela Rosa,House,2022,https://www.youtube.com/watch?v=0Pxw5kLLs5k,2022-10-03,Grant,,
Melody,Melody,Oliver Heldens,House,2015,https://www.youtube.com/watch?v=lPS-XQcp5wA,2022-10-03,Youtube,,
Turn Me On ft. Vula,Turn Me On,Riton & Oliver Heldens,House,2019,https://www.youtube.com/watch?v=cdNgo-E95f0,2022-10-03,Youtube,,
This Groove,This Groove,Oliver Heldens & LENNO,House,2019,https://www.youtube.com/watch?v=m6bzBe8rWgM,2022-10-03,Youtube,,
Set Me Free ft. MAX,Set Me Free,Oliver Heldens & Party Pupils,House,2020,https://www.youtube.com/watch?v=T3JPcmtz4rM,2022-10-03,Youtube,,
Break This Habit ft. Kiko Bun,Break This Habit,Oliver Heldens,House,2020,https://www.youtube.com/watch?v=PVFVpQWD_8M,2022-10-03,Youtube,,
One Kiss (Oliver Heldens Remix),One Kiss (Remixes) - EP,Calvin Harris & Dua Lipa,House,2018,https://www.youtube.com/watch?v=yEcE4GnYODs,2022-10-03,Youtube,,no album art
Zeus,Zeus,Hi-Lo,Techno,2020,https://www.youtube.com/watch?v=uJH_pd3Qp6M,2022-10-03,Youtube,,
Kronos,Kronos,Hi-Lo,Techno,2020,https://www.youtube.com/watch?v=KFCOj_iUWGc,2022-10-03,Youtube,,
Control,Resonance,Calvin Logue,Techno,2020,https://www.youtube.com/watch?v=O0wb9bIXFPo,2022-10-03,Youtube,,
Roadkill,Roadkill,Dubfire,House,2007,https://www.youtube.com/watch?v=R0ZPcRkgihI,2022-10-03,Youtube,,
Rave Machine ft. Rowetta,Rave Machine,Oliver Heldens,House,2020,https://www.youtube.com/watch?v=c1v8yj7newQ,2022-10-03,Youtube,,
Sirens,This Must Be The Place,Icarus,House,2019,https://www.youtube.com/watch?v=z3zX1jtj3Vo,2022-10-03,Youtube,,
Summertime Chi,Summertime Chi,Lee Foss & John Summit & Hayley May,House,2020,https://www.youtube.com/watch?v=13Qul0be-lY,2022-10-03,Youtube,,no album art
La Danza,La Danza,John Summit,House,2022,https://www.youtube.com/watch?v=DrO5TTpxO24,2022-10-03,Youtube,,
What A Life ft. Stevie Appleton,What A Life,John Summit & Guz,House,2022,https://www.youtube.com/watch?v=J6QBom7dUAM,2022-10-03,Best-Of,,
Drinkee (Vintage Culture and John Summit Remix),Drinkee,Sofi Tukker,House,2021,https://www.youtube.com/watch?v=acNogF42P2I,2022-10-03,Best-Of,,
Better Than This,Better Than This,John Summit & Parachute Youth,House,2021,https://www.youtube.com/watch?v=yRbJffgzpMI,2022-10-03,Best-Of,,
Make Me Feel,Make Me Feel,John Summit,House,2021,https://www.youtube.com/watch?v=BpK4reYkfUg,2022-10-03,Best-Of,,
Freeze (John Summit Remix),Freeze,Kygo,House,2022,https://www.youtube.com/watch?v=qaSf63Eegfw,2022-10-03,Best-Of,,
We Don't Need,We Don't Need,Oliver Heldens & Piero Pirupa,House,2022,https://www.youtube.com/watch?v=MXx3zXEsZc8,2022-10-04,Instagram,,
Rain ft. Danny Losito,Rain Before Sunset,Matteo Bruscagin,Techno,2020,https://www.youtube.com/watch?v=YHZdNFamxM4,2022-10-04,Youtube,,
Hingo ft. Idd Aziz,Hingo,Space Motion & Kashovski,Afro House,2019,https://www.youtube.com/watch?v=27SidEFwRGk,2022-10-04,Youtube,,
Elizabeth Street,Elizabeth Street,Gorgon City,Tech House,2019,https://www.youtube.com/watch?v=sT7bdybrjQQ,2022-10-04,Youtube,,
